aX,aY,aZ,gX,gY,gZ
1527.00,3529.00,12439.00,-2531.00,364.00,202.00
1454.00,3177.00,12540.00,-2523.00,444.00,256.00
1348.00,2707.00,12419.00,-2798.00,581.00,301.00
1299.00,2426.00,10349.00,-3015.00,569.00,248.00
1431.00,2502.00,8858.00,-3254.00,353.00,276.00
2525.00,2482.00,6867.00,-3170.00,146.00,383.00
2443.00,2149.00,6782.00,-2998.00,-30.00,500.00
1731.00,1708.00,6565.00,-2801.00,-215.00,610.00
733.00,529.00,5050.00,-2764.00,-161.00,583.00
596.00,-137.00,4303.00,-2638.00,311.00,514.00
903.00,-706.00,2593.00,-2512.00,451.00,475.00
1234.00,-915.00,2007.00,-2306.00,448.00,457.00
1225.00,-1146.00,1626.00,-1855.00,300.00,534.00
438.00,-1708.00,982.00,-1647.00,221.00,543.00
337.00,-2011.00,597.00,-1244.00,332.00,507.00
86.00,-2519.00,54.00,-1019.00,437.00,483.00
-18.00,-2748.00,66.00,-566.00,305.00,412.00
-741.00,-3028.00,53.00,-395.00,177.00,363.00
-1089.00,-3061.00,-277.00,-254.00,52.00,278.00
-1177.00,-3019.00,-791.00,53.00,47.00,106.00
-865.00,-2492.00,-1974.00,290.00,152.00,47.00
-555.00,-2381.00,-2272.00,989.00,-129.00,-30.00
-488.00,-2378.00,-1370.00,1343.00,-399.00,-20.00
-716.00,-2157.00,-495.00,1630.00,-567.00,4.00
-1016.00,-1864.00,414.00,1970.00,-565.00,-50.00
-900.00,-1224.00,1635.00,2026.00,-432.00,-142.00
-408.00,-729.00,2059.00,2105.00,-21.00,-256.00
12.00,9.00,3495.00,2199.00,13.00,-225.00
-225.00,164.00,4657.00,2336.00,-139.00,-197.00
-509.00,303.00,5999.00,2562.00,-597.00,-308.00
-630.00,861.00,7926.00,2547.00,-724.00,-414.00
-260.00,1282.00,8303.00,2253.00,-558.00,-588.00
1419.00,2174.00,9397.00,2093.00,-296.00,-609.00
1975.00,2543.00,10441.00,2003.00,-77.00,-547.00
2002.00,2601.00,11693.00,1985.00,-350.00,-406.00
1781.00,1931.00,13885.00,1931.00,-686.00,-384.00
1725.00,1949.00,14143.00,1614.00,-920.00,-368.00
2800.00,2584.00,13951.00,1426.00,-708.00,-377.00
3159.00,2544.00,14508.00,1259.00,-295.00,-342.00
3143.00,2237.00,15196.00,858.00,-59.00,-263.00
3082.00,884.00,15669.00,722.00,-452.00,-311.00
3603.00,540.00,15492.00,618.00,-800.00,-227.00
3423.00,236.00,15430.00,482.00,-694.00,-88.00
2186.00,-247.00,15840.00,276.00,-713.00,74.00
900.00,-917.00,16129.00,-268.00,-990.00,308.00
