aX,aY,aZ,gX,gY,gZ
-0.387,0.378,0.998,-4.517,13.184,-91.797
-0.407,0.368,0.981,-4.211,12.146,-97.229
-0.420,0.368,0.974,-5.005,10.803,-101.501
-0.422,0.370,0.969,-7.019,10.559,-105.591
-0.436,0.366,0.970,-9.521,9.766,-109.436
-0.440,0.385,0.993,-14.160,8.667,-111.694
-0.446,0.401,1.007,-16.479,9.155,-115.356
-0.459,0.403,1.021,-14.954,10.315,-119.568
-0.462,0.432,1.039,-13.428,12.329,-124.756
-0.477,0.453,1.032,-10.864,14.771,-131.409
-0.481,0.450,1.007,-8.240,18.250,-139.832
-0.504,0.453,0.996,-9.094,18.250,-147.461
-0.514,0.445,0.993,-11.780,18.005,-154.663
-0.525,0.433,0.993,-15.198,17.334,-160.522
-0.530,0.436,1.009,-19.348,16.724,-165.466
-0.531,0.453,1.042,-20.874,16.663,-170.776
-0.516,0.455,1.067,-15.930,17.578,-178.406
-0.504,0.459,1.063,-7.080,19.775,-186.218
-0.529,0.472,1.031,2.869,23.682,-194.458
-0.536,0.489,0.995,11.902,27.039,-203.918
-0.555,0.464,0.965,16.052,28.748,-214.417
-0.569,0.413,0.962,10.925,29.846,-226.379
-0.624,0.349,0.936,-0.977,31.006,-236.267
-0.666,0.255,0.923,-13.489,31.921,-243.103
-0.689,0.129,0.920,-26.184,26.611,-251.221
-0.694,-0.033,0.923,-35.583,21.362,-258.606
-0.696,-0.183,0.923,-40.161,16.968,-261.902
-0.689,-0.327,0.902,-34.912,16.846,-262.695
-0.646,-0.460,0.854,-19.897,19.287,-263.489
-0.603,-0.544,0.772,-4.517,20.142,-261.902
-0.568,-0.614,0.693,5.981,18.188,-259.705
-0.526,-0.700,0.715,9.888,14.526,-258.118
-0.479,-0.804,0.766,5.310,13.916,-256.104
-0.457,-0.915,0.809,-6.592,15.381,-249.451
-0.431,-0.991,0.859,-21.729,12.634,-239.380
-0.388,-1.049,0.941,-32.715,7.629,-228.210
-0.318,-1.124,0.992,-35.217,4.761,-218.933
-0.263,-1.209,0.974,-31.616,3.967,-208.984
-0.223,-1.282,0.914,-26.672,2.991,-193.909
-0.179,-1.307,0.895,-22.766,0.610,-175.049
-0.132,-1.291,0.889,-19.348,-3.601,-154.114
-0.094,-1.241,0.911,-15.625,-7.019,-131.531
-0.078,-1.151,0.938,-12.390,-9.460,-109.680
-0.057,-1.083,0.984,-7.324,-12.512,-92.651
-0.028,-1.022,1.031,-2.869,-14.648,-78.308
-0.002,-0.948,1.057,0.061,-13.794,-65.369
0.021,-0.858,1.055,3.174,-11.475,-54.443
0.036,-0.770,1.023,7.019,-8.423,-44.312
0.040,-0.697,1.004,8.911,-6.287,-36.438
0.055,-0.640,1.017,9.155,-5.127,-29.724
0.068,-0.576,1.020,9.338,-3.296,-24.475
0.082,-0.530,1.008,11.536,-0.977,-21.484
0.085,-0.529,0.994,14.954,0.916,-20.020
0.098,-0.548,0.976,16.846,2.014,-18.433
0.121,-0.558,0.957,17.212,2.686,-16.113
0.137,-0.550,0.932,17.395,3.296,-11.902
0.153,-0.513,0.915,16.235,2.686,-6.531
0.166,-0.480,0.902,14.587,2.014,-1.709
0.162,-0.459,0.877,14.038,1.526,1.892
0.159,-0.463,0.842,14.221,0.793,4.089
0.153,-0.495,0.812,14.221,-0.854,5.798
0.142,-0.536,0.799,12.268,-3.418,8.606
0.127,-0.578,0.797,8.362,-6.287,13.245
0.104,-0.598,0.812,3.235,-8.789,20.264
0.091,-0.592,0.849,-1.099,-11.597,28.259
0.066,-0.559,0.900,-3.113,-14.343,36.926
0.049,-0.506,0.954,-2.380,-15.076,44.983
0.034,-0.467,0.983,2.319,-13.733,50.964
0.023,-0.444,0.993,9.583,-11.902,55.115
0.023,-0.433,1.000,15.930,-10.803,57.556
0.030,-0.424,1.002,19.897,-9.155,59.570
0.033,-0.436,1.000,20.203,-6.775,61.340
0.031,-0.429,1.001,13.550,-5.493,63.782
0.017,-0.443,1.013,4.456,-4.578,66.772
-0.006,-0.475,1.042,-2.869,-4.028,70.251
-0.031,-0.486,1.088,-6.470,-4.639,75.623
-0.047,-0.483,1.142,-3.357,-5.249,82.092
-0.044,-0.465,1.184,5.798,-5.005,87.769
-0.024,-0.462,1.206,19.409,-3.601,91.980
0.000,-0.457,1.193,33.081,-0.183,94.482

-0.388,0.967,1.204,55.542,-20.508,183.472
-0.351,0.934,1.165,47.058,-22.278,159.668
-0.131,0.797,1.052,34.058,-17.090,134.949
-0.272,0.717,0.991,16.418,-17.334,119.690
-0.299,0.700,0.879,1.770,-4.333,111.938
-0.292,0.773,0.891,-9.705,-21.179,109.070
-0.294,0.843,1.003,-13.367,-29.907,101.624
-0.250,0.864,1.112,-9.705,-29.907,93.201
-0.195,0.833,1.154,-2.747,-30.945,81.970
-0.168,0.756,1.138,-0.183,-25.696,67.383
-0.163,0.629,1.079,-2.075,-21.057,52.307
-0.180,0.513,1.037,-8.240,-18.311,39.001
-0.187,0.419,1.008,-17.700,-15.747,29.297
-0.204,0.344,0.984,-25.208,-15.259,23.376
-0.213,0.342,0.994,-30.396,-16.235,22.156
-0.210,0.393,1.029,-32.043,-19.348,22.339
-0.202,0.440,1.103,-28.259,-22.156,20.935
-0.190,0.479,1.181,-20.447,-23.499,17.273
-0.157,0.477,1.245,-9.949,-22.400,11.047
-0.145,0.483,1.282,-0.610,-18.677,4.211
-0.136,0.500,1.286,7.751,-13.000,-3.540
-0.127,0.480,1.244,15.686,-5.188,-13.977
-0.125,0.452,1.172,16.357,2.014,-23.254
-0.126,0.438,1.107,8.118,7.324,-30.823
-0.149,0.422,1.061,-3.296,8.972,-37.476
-0.157,0.413,1.036,-13.123,9.094,-43.152
-0.164,0.390,1.017,-17.700,9.583,-48.279
-0.162,0.370,0.998,-16.052,9.094,-53.406
-0.158,0.371,0.977,-10.620,8.057,-57.922
-0.138,0.385,0.956,-4.822,7.446,-61.646
-0.146,0.399,0.949,-0.366,6.531,-65.552
-0.147,0.395,0.946,2.625,6.348,-69.214
-0.149,0.390,0.944,2.563,6.592,-73.792
-0.166,0.381,0.949,0.610,6.714,-78.247
-0.187,0.380,0.953,-2.319,7.202,-81.787
-0.214,0.377,0.962,-6.287,8.179,-85.815
-0.241,0.355,0.981,-9.460,7.996,-90.820
-0.263,0.310,0.990,-11.475,6.592,-96.619
-0.271,0.272,0.983,-12.024,7.629,-102.478
-0.291,0.230,0.966,-8.362,8.789,-107.727
-0.307,0.189,0.941,-3.174,9.583,-111.145
-0.301,0.197,0.939,-2.258,9.583,-112.427
-0.297,0.226,0.956,-2.197,8.118,-112.854
-0.296,0.261,0.971,-1.221,7.812,-113.831
-0.304,0.303,0.985,-1.221,7.996,-116.455
-0.300,0.333,0.995,-1.770,9.766,-120.483
-0.317,0.342,0.998,-2.319,10.925,-124.817
-0.313,0.340,1.003,-1.770,11.902,-130.066
-0.323,0.323,0.995,0.061,13.123,-135.803
-0.318,0.300,0.975,1.709,14.648,-141.174
-0.320,0.295,0.949,2.014,14.832,-146.301
-0.333,0.295,0.924,1.282,13.000,-151.306
-0.337,0.281,0.914,-0.671,10.864,-156.555
-0.353,0.252,0.908,-4.089,8.240,-161.377
-0.362,0.233,0.924,-8.423,6.592,-164.856
-0.346,0.232,0.950,-12.329,4.150,-167.664
-0.353,0.224,0.967,-14.404,3.540,-170.715
-0.349,0.218,0.985,-14.771,4.456,-173.828
-0.353,0.212,0.997,-13.916,5.859,-177.185
-0.374,0.203,1.010,-12.085,6.409,-180.359
-0.392,0.219,1.036,-9.644,6.470,-182.739
-0.395,0.230,1.069,-4.333,7.141,-186.462
-0.387,0.242,1.099,1.953,6.958,-192.078
-0.386,0.220,1.109,8.179,8.118,-198.181
-0.378,0.188,1.108,12.573,10.681,-204.773
-0.382,0.148,1.063,15.320,14.954,-211.243
-0.420,0.081,0.999,16.296,18.250,-216.553
-0.437,-0.020,0.951,15.686,18.555,-221.924
-0.449,-0.130,0.918,13.184,17.212,-225.525
-0.474,-0.235,0.888,10.559,15.198,-225.708
-0.506,-0.341,0.852,11.780,12.817,-224.854
-0.518,-0.426,0.792,17.395,9.338,-223.145
-0.505,-0.488,0.770,26.489,3.113,-220.154
-0.494,-0.616,0.775,34.729,-3.296,-217.651
-0.438,-0.719,0.863,33.569,-8.118,-213.501
-0.385,-0.766,0.953,28.625,-7.996,-208.618
-0.349,-0.837,1.000,26.062,-2.197,-205.200
-0.336,-0.912,0.983,22.949,8.057,-202.393
-0.352,-1.000,0.922,22.827,18.433,-199.097
-0.339,-1.139,0.823,29.114,24.841,-196.777
-0.361,-1.293,0.740,35.522,24.902,-191.040
-0.322,-1.454,0.709,40.588,21.057,-180.176
-0.256,-1.586,0.720,49.072,14.221,-163.635
-0.213,-1.675,0.735,54.871,8.423,-139.465
-0.178,-1.658,0.742,57.800,6.775,-110.962
-0.119,-1.572,0.757,57.190,4.761,-82.581
-0.087,-1.458,0.761,48.218,3.845,-57.861
-0.059,-1.297,0.814,30.212,3.601,-38.269
-0.026,-1.153,0.881,11.536,3.296,-23.682
-0.005,-1.026,0.917,-3.174,5.493,-12.573
0.003,-0.894,0.919,-12.451,8.911,-4.089
0.013,-0.789,0.897,-16.174,9.155,-0.549
0.035,-0.747,0.878,-15.320,7.751,-0.793
0.062,-0.748,0.869,-13.550,5.676,-0.977
0.082,-0.757,0.856,-12.268,4.272,0.977
0.089,-0.750,0.833,-11.230,3.235,4.700
0.095,-0.746,0.815,-9.399,1.709,9.399
0.098,-0.740,0.809,-9.155,-0.305,14.221
0.101,-0.741,0.814,-8.850,-2.808,19.287
0.092,-0.730,0.824,-10.010,-5.127,25.330
0.090,-0.711,0.833,-12.329,-7.446,31.189
0.086,-0.702,0.846,-15.076,-10.010,35.889
0.065,-0.710,0.863,-17.822,-11.536,40.894
0.059,-0.728,0.889,-20.569,-12.024,44.861
0.047,-0.755,0.893,-22.461,-10.437,48.706
0.018,-0.805,0.860,-23.193,-7.324,52.673
-0.015,-0.858,0.818,-24.536,-5.310,57.007
-0.046,-0.893,0.785,-27.771,-4.944,63.965
-0.068,-0.857,0.792,-34.851,-7.263,76.111
-0.083,-0.740,0.833,-42.603,-12.207,89.417
-0.090,-0.649,0.882,-43.457,-16.785,99.670
-0.093,-0.611,0.929,-39.856,-19.104,106.323
-0.119,-0.567,0.974,-37.415,-19.104,110.413
-0.112,-0.572,1.014,-31.433,-16.296,111.084
-0.109,-0.607,1.019,-21.362,-10.376,109.619
-0.125,-0.681,0.953,-11.414,-2.930,109.253
-0.165,-0.699,0.869,-7.324,2.258,112.976
-0.196,-0.656,0.827,-9.216,1.587,121.094
-0.224,-0.581,0.841,-14.160,-2.625,132.202

-0.657,0.558,1.396,22.949,-35.217,266.541
-0.559,0.492,1.300,46.448,-21.790,239.807
-0.524,0.418,1.104,56.641,-3.601,216.431
-0.546,0.330,0.893,56.641,6.897,199.951
-0.614,0.234,0.698,43.640,9.277,192.993
-0.699,0.304,0.597,13.550,2.502,198.792
-0.715,0.553,0.683,-15.930,-13.245,208.557
-0.671,0.840,0.902,-23.804,-30.273,214.600
-0.599,1.025,1.123,-8.423,-40.222,211.853
-0.499,1.046,1.216,14.221,-35.950,202.454
-0.450,1.037,1.286,30.884,-38.147,185.730
-0.382,1.023,1.313,36.438,-46.509,161.926
-0.320,0.958,1.240,38.757,-37.720,137.939
-0.287,0.866,1.116,35.645,-22.156,115.173
-0.268,0.745,0.969,24.780,-11.902,97.290
-0.281,0.684,0.844,4.395,-6.653,85.693
-0.333,0.658,0.762,-14.709,-8.667,78.369
-0.348,0.674,0.797,-25.330,-16.724,75.928
-0.341,0.790,0.961,-29.846,-30.762,75.867
-0.312,0.861,1.142,-17.212,-39.551,70.129
-0.282,0.832,1.251,5.615,-38.879,58.228
-0.263,0.799,1.304,23.376,-32.593,45.532
-0.247,0.777,1.302,31.006,-23.254,32.593
-0.242,0.743,1.259,30.945,-13.123,19.714
-0.268,0.663,1.191,23.376,-5.127,6.653
-0.295,0.558,1.122,11.047,0.854,-4.333
-0.325,0.461,1.072,-2.075,3.052,-12.512
-0.323,0.399,1.097,-13.367,-0.549,-16.357
-0.300,0.360,1.170,-17.273,-4.028,-19.531
-0.269,0.330,1.219,-11.292,-3.540,-23.193
-0.246,0.312,1.208,-1.465,1.038,-26.978
-0.224,0.303,1.163,6.958,6.042,-32.166
-0.213,0.293,1.110,11.719,9.094,-38.513
-0.188,0.258,1.066,13.977,12.512,-44.556
-0.174,0.219,1.043,14.404,14.648,-50.598
-0.184,0.207,1.039,12.756,16.907,-52.490
-0.198,0.232,1.049,9.277,19.470,-53.223
-0.229,0.276,1.081,7.263,20.569,-54.321
-0.250,0.302,1.102,6.165,22.644,-55.908
-0.281,0.321,1.121,4.333,23.132,-58.899
-0.294,0.316,1.130,5.432,25.757,-64.758
-0.307,0.303,1.100,9.216,28.870,-71.838
-0.335,0.323,1.050,13.489,31.555,-77.820
-0.333,0.342,1.002,17.334,35.278,-84.106
-0.363,0.361,0.981,16.785,34.485,-89.539
-0.363,0.397,0.998,11.841,35.156,-92.163
-0.365,0.460,1.018,7.263,35.645,-93.506
-0.371,0.514,1.037,7.629,35.828,-98.389
-0.370,0.519,1.028,12.146,38.513,-104.309
-0.377,0.497,0.994,16.357,42.175,-112.732
-0.375,0.450,0.925,18.311,45.959,-120.483
-0.377,0.391,0.862,17.090,47.485,-127.136
-0.391,0.322,0.807,14.221,46.143,-132.996
-0.389,0.258,0.776,10.010,43.030,-136.536
-0.398,0.231,0.774,3.052,36.926,-138.611
-0.382,0.181,0.795,-2.258,31.494,-140.808
-0.363,0.129,0.837,-6.470,25.391,-142.578
-0.364,0.092,0.901,-8.545,19.897,-143.066
-0.367,0.057,0.958,-7.141,19.226,-142.761
-0.370,0.047,1.011,-3.174,18.005,-143.250
-0.371,0.050,1.090,0.977,17.578,-145.569
-0.359,0.105,1.155,4.333,18.921,-150.024
-0.332,0.151,1.158,7.263,23.193,-157.654
-0.315,0.161,1.132,5.920,27.527,-166.931
-0.299,0.172,1.105,-2.197,31.189,-174.500
-0.313,0.165,1.058,-11.230,33.752,-181.030
-0.328,0.154,1.017,-18.066,34.241,-187.134
-0.410,0.105,0.986,-21.851,32.959,-191.956
-0.454,0.037,1.004,-23.804,29.663,-196.411
-0.474,-0.012,1.082,-25.208,24.536,-199.829
-0.486,-0.080,1.187,-26.550,25.269,-200.684
-0.518,-0.013,1.243,-31.738,32.349,-196.411
-0.551,0.198,1.253,-36.499,41.382,-193.848
-0.603,0.368,1.211,-30.640,49.500,-200.989
-0.607,0.409,1.189,-15.381,53.040,-220.337
-0.604,0.322,1.094,0.183,57.068,-247.009
-0.657,0.093,0.971,4.211,62.622,-272.217
-0.705,-0.266,0.852,-13.428,63.721,-288.635
