aX,aY,aZ,gX,gY,gZ
0.063,0.194,1.162,67.993,-46.143,-2.258

0.202,0.187,2.540,20.752,-15.259,-6.470
0.102,0.071,2.519,10.254,20.813,-12.939
-0.006,-0.045,2.473,-16.846,55.237,-17.639
-0.075,-0.108,2.393,-56.580,84.229,-13.855
-0.126,-0.159,2.311,-75.684,104.248,-8.606
-0.183,-0.203,2.269,-61.523,114.502,-7.751
-0.246,-0.253,2.253,-27.649,119.629,-10.376
-0.269,-0.292,2.211,3.967,126.587,-12.573
-0.282,-0.245,2.194,22.400,139.648,-10.864
-0.316,-0.201,2.098,31.372,155.579,-8.057
-0.352,-0.190,1.997,28.625,175.598,-4.517
-0.387,-0.206,1.880,12.390,195.312,-1.343
-0.425,-0.242,1.731,-5.920,213.074,2.441
-0.461,-0.265,1.577,-19.165,224.426,8.911
-0.461,-0.272,1.450,-27.588,232.422,14.954
-0.430,-0.249,1.353,-29.846,237.732,18.311
-0.424,-0.227,1.226,-25.085,243.713,18.799
-0.437,-0.206,1.100,-20.508,249.817,21.729
-0.420,-0.137,1.035,-22.400,253.357,27.771
-0.382,-0.151,0.999,-28.564,253.540,32.043
-0.366,-0.164,1.010,-37.048,254.517,28.320
-0.326,-0.123,0.994,-46.143,263.306,33.752
-0.358,-0.108,0.890,-53.772,272.034,38.025
-0.323,-0.129,0.803,-58.899,279.602,36.987
-0.319,-0.123,0.718,-63.538,284.302,29.663
-0.335,-0.159,0.626,-62.805,290.161,31.372
-0.320,-0.183,0.536,-66.406,293.213,32.776
-0.285,-0.155,0.477,-71.777,294.739,28.992
-0.256,-0.153,0.447,-74.585,295.715,28.992
-0.222,-0.136,0.394,-79.529,297.668,30.640
-0.246,-0.130,0.329,-86.304,300.232,30.212
-0.300,-0.165,0.230,-89.783,301.819,30.396
-0.333,-0.202,0.091,-93.445,299.500,30.212
-0.334,-0.197,-0.009,-93.201,291.199,30.518
-0.312,-0.240,-0.074,-83.191,277.588,30.518
-0.253,-0.226,-0.129,-75.623,262.939,30.273
-0.172,-0.177,-0.176,-70.190,249.390,32.227
-0.057,-0.119,-0.213,-65.125,236.145,33.569
0.004,-0.051,-0.276,-62.805,226.135,33.813
0.081,-0.017,-0.363,-63.843,219.177,34.302
0.153,0.003,-0.445,-66.406,213.379,34.729
0.250,0.040,-0.530,-62.256,208.191,35.583
0.348,0.128,-0.679,-43.274,203.125,36.743
0.444,0.273,-0.870,-17.883,198.120,37.659
0.551,0.410,-1.099,6.470,192.566,36.255
0.603,0.519,-1.379,28.137,185.730,33.752
0.641,0.637,-1.664,39.734,175.476,34.058
0.702,0.762,-1.911,44.556,158.936,33.264
0.723,0.895,-2.134,47.180,136.292,29.236
0.742,1.032,-2.317,47.607,107.849,22.400
0.751,1.120,-2.412,45.166,72.327,12.939
0.740,1.167,-2.408,40.100,30.640,0.305
0.708,1.127,-2.320,36.194,-13.000,-16.174
0.681,0.978,-2.152,34.180,-57.739,-34.851
0.646,0.806,-1.941,35.767,-100.220,-51.270
0.631,0.636,-1.702,39.856,-136.169,-63.660
0.601,0.491,-1.482,47.485,-164.795,-73.242
0.560,0.346,-1.278,60.486,-187.073,-79.956
0.518,0.228,-1.105,73.914,-203.552,-83.801
0.466,0.150,-0.960,82.092,-215.515,-83.679
0.404,0.145,-0.846,82.886,-223.816,-81.238
0.330,0.155,-0.736,76.782,-229.431,-79.102
0.226,0.113,-0.625,61.218,-233.154,-78.003
0.161,0.000,-0.543,38.940,-237.488,-77.148
0.156,-0.080,-0.457,17.639,-241.577,-73.181
0.082,-0.126,-0.340,4.639,-247.375,-67.261
0.033,-0.227,-0.246,1.343,-253.052,-61.096
0.002,-0.268,-0.137,4.028,-259.155,-53.589
-0.048,-0.297,-0.020,18.494,-264.526,-48.584
-0.216,-0.349,0.061,42.114,-270.020,-44.495
-0.217,-0.321,0.157,59.204,-273.621,-35.767
-0.262,-0.183,0.302,59.387,-278.870,-26.489
-0.308,-0.164,0.441,52.246,-284.058,-18.677
-0.260,-0.139,0.597,33.020,-288.757,-9.155
-0.223,-0.119,0.755,13.916,-291.626,-5.981
-0.179,-0.207,0.880,10.559,-292.969,-6.348
-0.177,-0.335,1.001,13.550,-289.001,-6.592
-0.179,-0.437,1.114,20.630,-279.297,-3.235
-0.214,-0.494,1.179,38.879,-266.785,1.404
-0.290,-0.445,1.239,60.120,-254.456,7.690
-0.352,-0.257,1.263,75.073,-247.986,16.235
-0.264,0.003,1.283,82.092,-245.422,0.916
-0.331,-0.089,1.282,91.370,-254.944,-6.104
-0.227,-0.043,1.454,59.875,-247.009,-7.446
-0.094,-0.133,1.486,19.592,-235.962,-12.329
-0.085,-0.280,1.535,3.540,-227.661,-9.766
-0.055,-0.397,1.601,-1.587,-214.111,-6.470
-0.088,-0.472,1.672,1.770,-196.106,1.770
-0.081,-0.334,1.751,5.554,-179.077,20.386
-0.106,-0.107,1.811,9.460,-166.809,34.668
-0.093,0.034,1.871,11.719,-158.203,35.889
-0.023,0.111,1.916,7.690,-151.794,28.381
0.023,0.080,1.926,6.287,-143.616,18.860
0.068,0.020,1.875,7.996,-131.592,10.620
0.106,-0.017,1.733,8.118,-117.188,6.714
0.115,-0.028,1.574,5.737,-101.196,5.493
0.118,-0.041,1.460,0.122,-87.097,4.944
0.079,-0.052,1.365,-5.676,-76.111,5.432
-0.008,-0.042,1.284,-7.385,-69.702,8.362
-0.045,0.042,1.278,-8.240,-71.838,14.099
-0.009,0.106,1.293,-9.033,-76.782,17.883
0.020,0.160,1.308,-11.536,-80.078,18.921
0.031,0.188,1.300,-15.564,-79.285,17.334
0.024,0.151,1.214,-18.982,-76.111,14.282
0.011,0.128,1.135,-22.766,-72.388,10.986
0.009,0.117,1.070,-26.062,-68.787,9.277
-0.008,0.108,1.017,-25.208,-66.406,7.324
-0.266,-0.273,2.855,-133.911,-76.233,19.531
0.969,2.493,4.000,-605.225,16.418,84.167
-0.294,0.202,1.443,-168.396,97.595,24.841
-0.242,0.284,0.844,-15.076,82.520,-41.565
0.083,0.417,0.788,-34.912,52.063,-28.992
-0.037,0.226,0.942,-11.658,16.113,-2.441
-0.033,0.276,0.964,0.977,-6.592,3.479
0.180,0.318,1.012,12.451,-18.188,-2.808
0.129,0.320,1.022,25.757,-27.344,-2.563
0.059,0.389,0.997,44.800,-32.837,-4.028
0.208,0.423,1.108,66.895,-33.813,-10.437
0.189,0.432,1.064,97.900,-34.180,-20.874

0.131,0.362,2.154,22.766,36.743,-21.301
0.106,0.353,2.267,9.216,54.077,-22.034
0.050,0.313,2.381,-7.080,70.679,-21.362
0.005,0.240,2.476,-16.602,89.600,-24.353
-0.063,0.190,2.543,-22.949,107.971,-29.175
-0.102,0.144,2.552,-22.339,126.831,-34.790
-0.156,0.073,2.517,-10.681,146.118,-40.466
-0.249,0.014,2.452,0.244,165.222,-44.800
-0.310,-0.045,2.400,6.714,182.678,-45.349
-0.316,-0.092,2.358,9.277,199.402,-43.884
-0.338,-0.100,2.269,7.568,217.346,-41.321
-0.375,-0.124,2.176,8.545,236.755,-37.292
-0.377,-0.136,2.041,9.644,255.432,-33.020
-0.429,-0.141,1.885,5.554,275.085,-28.015
-0.508,-0.172,1.711,-1.099,292.236,-23.682
-0.528,-0.212,1.547,-10.925,305.664,-19.470
-0.587,-0.245,1.402,-23.437,313.904,-12.573
-0.594,-0.280,1.305,-34.180,319.763,-5.371
-0.587,-0.313,1.223,-37.292,324.646,-0.122
-0.572,-0.310,1.103,-35.278,329.529,1.160
-0.577,-0.317,0.968,-31.799,334.900,2.136
-0.542,-0.325,0.824,-28.809,340.759,2.319
-0.574,-0.321,0.640,-26.917,347.778,3.723
-0.609,-0.354,0.453,-25.085,352.417,7.263
-0.630,-0.345,0.279,-27.588,353.699,12.268
-0.646,-0.348,0.116,-32.593,350.769,18.677
-0.585,-0.387,-0.005,-40.344,343.567,25.574
-0.499,-0.368,-0.125,-49.683,334.534,33.569
-0.513,-0.306,-0.273,-52.185,322.937,44.250
-0.477,-0.298,-0.343,-52.673,305.176,53.040
-0.350,-0.257,-0.385,-50.537,283.936,53.406
-0.268,-0.218,-0.436,-40.283,266.174,53.589
-0.241,-0.162,-0.494,-26.672,250.916,55.725
-0.158,-0.113,-0.579,-14.160,237.793,55.969
-0.080,-0.048,-0.665,-3.967,225.037,53.955
0.001,0.006,-0.785,8.667,212.769,53.894
0.109,0.105,-0.944,20.630,199.890,56.824
0.193,0.261,-1.141,32.471,186.096,60.974
0.261,0.432,-1.361,48.157,169.312,63.477
0.373,0.639,-1.565,59.448,148.315,62.683
0.476,0.842,-1.742,63.965,124.268,57.617
0.567,1.002,-1.873,64.331,99.121,47.424
0.697,1.104,-2.001,62.805,76.416,33.447
0.802,1.188,-2.123,60.974,56.885,21.240
0.780,1.250,-2.215,60.303,34.668,8.789
0.775,1.274,-2.268,60.791,6.470,-4.944
0.690,1.229,-2.189,57.251,-30.457,-21.729
0.640,1.092,-2.014,52.429,-73.059,-36.621
0.621,0.932,-1.722,47.791,-115.051,-49.927
0.576,0.802,-1.427,49.133,-153.015,-60.486
0.542,0.705,-1.148,54.810,-181.274,-71.960
0.499,0.577,-0.933,61.462,-200.073,-84.656
0.462,0.390,-0.779,54.871,-210.205,-93.201
0.424,0.230,-0.664,29.663,-213.074,-91.980
0.395,0.102,-0.563,2.197,-213.013,-82.336
0.172,0.008,-0.488,-11.658,-214.783,-74.402
0.271,-0.086,-0.436,-14.954,-216.858,-62.683
0.098,-0.041,-0.312,-11.230,-221.863,-58.105
0.015,-0.110,-0.271,7.263,-234.070,-54.260
0.006,-0.132,-0.185,23.376,-246.948,-54.077
-0.084,-0.121,-0.075,34.363,-261.292,-53.894
-0.098,-0.150,0.017,42.297,-273.010,-51.819
-0.104,-0.151,0.167,37.964,-279.724,-50.720
-0.146,-0.196,0.325,27.100,-283.569,-48.950
-0.121,-0.256,0.470,17.822,-283.020,-44.189
-0.086,-0.277,0.595,10.559,-276.978,-39.307
-0.061,-0.269,0.673,5.127,-269.104,-31.982
-0.051,-0.257,0.721,3.967,-259.216,-24.597
-0.047,-0.213,0.699,8.179,-248.718,-18.555
-0.151,-0.109,0.754,13.000,-244.812,-15.137
-0.229,-0.074,0.770,19.714,-250.610,-13.367
-0.284,-0.023,0.910,18.188,-255.127,-6.775
-0.430,0.121,1.063,10.010,-268.250,-3.174
-0.074,-0.007,1.293,9.766,-274.170,-14.465
-0.104,-0.168,1.502,21.179,-292.175,-43.335
-0.123,-0.270,1.631,40.894,-281.677,-36.377
0.137,-0.272,1.744,34.119,-240.479,-31.555
0.179,-0.231,1.680,32.288,-213.867,-23.193
0.052,-0.201,1.564,45.227,-187.317,-15.625
-0.050,-0.094,1.505,47.363,-165.222,-12.695
-0.120,0.005,1.519,40.405,-158.325,-12.512
-0.121,0.011,1.586,33.691,-163.696,-14.832
-0.100,-0.026,1.704,29.297,-173.340,-17.822
-0.075,-0.095,1.751,25.085,-178.162,-20.569
-0.027,-0.143,1.747,16.785,-175.598,-18.982
0.033,-0.165,1.834,8.972,-166.565,-16.296
0.124,-0.180,1.914,5.920,-152.161,-13.611
0.169,-0.197,1.873,5.676,-127.869,-7.874
0.126,-0.189,1.729,4.150,-100.098,-2.808
0.056,-0.176,1.577,4.822,-77.881,-0.610
-0.013,-0.144,1.430,8.545,-64.758,0.671
-0.038,-0.073,1.336,10.803,-58.716,3.723
0.005,-0.013,1.248,5.371,-60.852,7.202
0.040,0.049,1.214,-9.094,-61.584,9.399
0.031,0.073,1.172,-18.860,-63.782,10.132
0.042,0.056,1.112,-24.597,-63.721,9.338
0.022,0.035,1.033,-26.978,-63.049,7.263
-0.018,0.016,0.945,-26.733,-63.660,7.996
0.020,-0.351,1.059,-26.917,-66.956,9.338
-0.342,-0.201,2.668,-190.857,-108.276,25.330
0.733,2.847,3.882,-659.668,-14.893,91.187
0.431,0.054,1.446,-307.739,89.844,27.954
-0.618,-0.194,1.015,15.381,77.087,-32.898
0.047,0.309,0.788,-29.846,73.669,-20.447
0.091,0.422,0.825,-32.043,52.551,14.282
0.077,0.450,0.950,-11.902,25.146,19.043
0.133,0.419,1.014,0.671,5.005,10.986
0.156,0.358,1.083,25.452,-10.437,2.380
0.189,0.392,1.195,67.627,-22.034,-5.859
0.208,0.333,1.131,124.878,-27.832,-16.174
0.174,0.344,1.083,165.100,-29.907,-20.386
0.253,0.385,1.204,180.359,-28.687,-22.217
0.312,0.357,1.448,173.401,-21.362,-21.973
0.217,0.203,1.848,138.672,-10.559,-16.174
0.231,0.244,2.084,57.312,-2.869,-7.629
0.210,0.277,2.288,7.996,21.240,-5.005
0.117,0.210,2.369,7.568,49.744,-12.024
0.047,0.190,2.413,12.573,73.853,-17.639
-0.008,0.154,2.429,8.667,87.830,-18.494

-0.057,0.051,2.529,-24.780,119.080,-17.090
-0.118,0.006,2.571,-32.471,137.695,-15.930
-0.202,-0.083,2.582,-29.297,157.715,-17.151
-0.261,-0.159,2.567,-23.254,179.321,-18.555
-0.317,-0.201,2.502,-16.541,202.209,-17.517
-0.373,-0.197,2.369,-8.972,223.877,-14.526
-0.396,-0.156,2.210,0.122,243.347,-13.367
-0.422,-0.146,2.037,8.240,260.559,-12.329
-0.422,-0.156,1.844,8.301,276.733,-8.057
-0.447,-0.107,1.681,-2.502,293.213,-0.854
-0.502,-0.125,1.517,-14.648,306.763,4.456
-0.517,-0.195,1.404,-25.940,317.993,7.935
-0.535,-0.211,1.330,-36.987,331.482,7.935
-0.531,-0.211,1.223,-41.687,346.313,3.906
-0.546,-0.224,1.038,-39.795,356.262,-2.258
-0.593,-0.240,0.823,-37.415,359.924,-8.728
-0.590,-0.250,0.652,-34.851,366.272,-12.146
-0.654,-0.258,0.427,-33.508,368.225,-8.850
-0.697,-0.309,0.218,-36.865,366.699,0.549
-0.622,-0.306,0.027,-47.119,363.770,12.878
-0.588,-0.262,-0.113,-53.406,354.065,29.785
-0.557,-0.212,-0.219,-50.293,338.135,45.654
-0.459,-0.075,-0.305,-46.875,319.824,54.749
-0.386,0.065,-0.380,-41.016,301.208,55.969
-0.272,0.092,-0.459,-28.748,282.043,47.607
-0.196,0.061,-0.554,-15.442,265.015,35.217
-0.162,0.019,-0.636,-7.935,250.549,26.978
-0.117,-0.017,-0.748,-1.648,236.877,23.315
-0.044,-0.010,-0.868,3.784,221.924,23.071
0.033,0.045,-0.989,8.606,206.177,25.146
0.113,0.137,-1.111,12.878,189.758,28.503
0.214,0.252,-1.229,16.541,172.546,28.809
0.324,0.349,-1.359,22.827,154.175,26.245
0.434,0.452,-1.484,28.198,135.437,23.376
0.534,0.573,-1.613,32.898,116.333,18.677
0.593,0.668,-1.715,37.109,95.520,11.108
0.644,0.702,-1.832,38.513,73.975,0.610
0.638,0.699,-1.919,37.170,49.866,-9.766
0.619,0.666,-1.996,36.682,22.095,-19.287
0.593,0.636,-2.000,35.950,-10.376,-26.855
0.564,0.609,-1.926,34.668,-47.241,-32.715
0.575,0.565,-1.754,32.043,-85.754,-38.452
0.588,0.506,-1.535,30.457,-122.437,-44.739
0.599,0.446,-1.293,33.936,-153.015,-50.964
0.605,0.383,-1.063,42.725,-176.392,-56.580
0.590,0.330,-0.887,52.429,-193.665,-60.608
0.561,0.318,-0.755,58.289,-205.994,-63.538
0.520,0.286,-0.642,59.937,-215.454,-66.833
0.453,0.178,-0.600,52.612,-222.534,-69.763
0.477,0.158,-0.433,27.771,-224.304,-65.125
0.304,0.094,-0.347,4.211,-229.187,-62.561
0.326,-0.015,-0.270,-8.850,-233.459,-54.993
0.273,-0.042,-0.149,-17.334,-239.990,-50.964
0.171,-0.088,-0.069,-10.254,-248.657,-46.936
0.189,-0.134,0.032,2.686,-255.432,-43.762
0.151,-0.120,0.173,11.292,-261.475,-40.161
0.147,-0.115,0.295,20.386,-267.578,-35.522
